id	name
72783	Coquelles
72784	Escalles
72785	Fréthun
72787	Peuplingues
72789	Sangatte
72790	Calais
72791	Alembon
72792	Andres
72796	Campagne-lès-Guines
72798	Guînes
72800	Hardinghen
72804	Licques
72807	Avion
72808	Bully-les-Mines
72809	Mazingarbe
72810	Carvin
72811	Libercourt
72812	Courrières
72813	Oignies
72815	Harnes
72816	Pont-à-Vendin
72817	Hénin-Beaumont
72818	Noyelles-Godault
72819	Courcelles-lès-Lens
72820	Dourges
72822	Leforest
72824	Annay
72825	Loison-sous-Lens
72826	Loos-en-Gohelle
72827	Lens
72829	Angres
72830	Éleu-dit-Leauwette
72831	Liévin
72832	Méricourt
72833	Montigny-en-Gohelle
72834	Billy-Montigny
72835	Fouquières-lès-Lens
72839	Aix-Noulette
72843	Sains-en-Gohelle
72845	Bénifontaine
72846	Hulluch
72848	Vendin-le-Vieil
72849	Wingles
72852	Berck
72855	Groffliers
72856	Rang-du-Fliers
72857	Tigny-Noyelle
72858	Verton
72859	Waben
72861	Beaurainville
72864	Brimeux
72865	Buire-le-Sec
72866	Campagne-lès-Hesdin
72867	Douriez
72868	Gouy-Saint-André
72869	Hesmond
72871	Loison-sur-Créquoise
72872	Maintenay
72878	Roussent
72880	Saint-Rémy-au-Bois
72881	Saulchoy
72883	Attin
72885	Beutin
72886	Bréxent-Énocq
72887	Camiers
72888	Cormont
72889	Estrée
72891	Étaples
72894	Inxent
72898	Montcavrel
72900	Tubersent
72910	Fressin
72911	Fruges
72915	Matringhem
72918	Radinghem
72924	Torcy
72928	Bouin-Plumoison
72933	Chériennes
72937	Hesdin
72938	Huby-Saint-Leu
72941	Marconne
72953	Beussent
72962	Hucqueliers
72964	Maninghem
72970	Verchocq
72972	Zoteux
72973	Auchy-lès-Hesdin
72974	Azincourt
72976	Blangy-sur-Ternoise
72994	Wail
73000	Cucq
73001	Écuires
73002	La Calotterie
73003	La Madelaine-sous-Montreuil
73004	Le Touquet-Paris-Plage
73006	Merlimont
73007	Montreuil
73009	Neuville-sous-Montreuil
73011	Saint-Josse
73012	Sorrus
73013	Wailly-Beaucamp
73014	Aire-sur-la-Lys
73016	Ecques
73024	Roquetoire
73027	Wittes
73028	Ardres
73030	Autingues
73033	Bonningues-lès-Ardres
73034	Brêmes
73035	Clerques
73036	Éperlecques
73038	Landrethun-lès-Ardres
73039	Louches
73046	Recques-sur-Hem
73048	Tournehem-sur-la-Hem
73050	Arques
73051	Blendecques
73053	Helfaut
73054	Audruicq
73057	Nouvelle-Église
73059	Oye-Plage
73060	Polincove
73062	Saint-Folquin
73064	Sainte-Marie-Kerque
73072	Dennebrœucq
73076	Fauquembergues
73080	Merck-Saint-Liévin
73085	Acquin-Westbécourt
73087	Alquines
73088	Bayenghem-lès-Seninghem
73089	Bléquin
73098	Esquerdes
73101	Ledinghem
73103	Lumbres
73106	Pihem
73110	Seninghem
73112	Surques
73115	Wismes
73116	Wisques
73117	Zudausques
73118	Clairmarais
73119	Houlle
73121	Moulle
73122	Saint-Martin-au-Laërt
73123	Salperwick
73124	Serques
73125	Tilques
73126	Longuenesse
73127	Tatinghem
73128	Wizernes
73129	Saint-Omer
73133	Grand-Laviers
73135	Vauchelles-les-Quesnoy
73138	Eaucourt-sur-Somme
73139	Épagne-Épagnette
73140	Mareuil-Caubert
73142	Abbeville
73143	Ailly-le-Haut-Clocher
73150	Domqueur
73154	Long
73160	Saint-Riquier
73162	Yaucourt-Bussus
73164	Ault
73168	Mers-les-Bains
73169	Oust-Marest
73170	Saint-Quentin-la-Motte-Croix-au-Bailly
73171	Woignarue
73176	Crécy-en-Ponthieu
73178	Domléger-Longvillers
73194	Bourseville
73196	Friville-Escarbotin
73197	Nibas
73202	Woincourt
73206	Bouillancourt-en-Séry
73207	Bouttencourt
73215	Gamaches
73220	Rambures
73223	Allery
73225	Citerne
73231	Huppy
73240	Béhen
73241	Cahon
73242	Chépy
73247	Miannay
73253	Agenvillers
73254	Buigny-Saint-Maclou
73259	Gapennes
73265	Nouvion
73266	Noyelles-sur-Mer
73267	Ponthoile
73269	Sailly-Flibeaucourt
73277	Fontaine-le-Sec
73286	Le Mazis
73293	Oisemont
73297	Senarpont
73301	Argoules
73303	Bernay-en-Ponthieu
73304	Favières
73305	Fort-Mahon-Plage
73306	Le Crotoy
73309	Nampont
73310	Quend
73311	Regnière-Écluse
73312	Rue
73313	Saint-Quentin-en-Tourmont
73315	Villers-sur-Authie
73316	Vironchaux
73317	Vron
73319	Boismont
73321	Cayeux-sur-Mer
73322	Estrébœuf
73324	Lanchères
73327	Saigneville
73328	Saint-Blimont
73329	Saint-Valery-sur-Somme
73330	Acheux-en-Amiénois
73346	Mailly-Maillet
73348	Puchevillers
73356	Dreuil-lès-Amiens
73358	Argœuves
73360	Rivery
73361	Camon
73362	Longueau
73363	Cagny
73365	Allonville
73366	Poulainville
73367	Amiens
73379	Fienvillers
73384	Maizicourt
73393	Boves
73397	Dury
73401	Glisy
73405	Hébécourt
73411	Saleux
73412	Salouël
73420	Conty
73426	Lœuilly
73440	Bonnay
73443	Corbie
